ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠮᠠᠰᠢ ᠶᠡᠬᠡ ᠬᠢᠯᠢᠩᠨᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠦᠵᠡᠭᠡᠳ ᠪᠢ ᠪᠦᠷ ᠠᠭᠤᠷᠯᠠᠪᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠦᠨᠡᠨ ᠢ᠋ ᠬᠡᠯᠡᠬᠦ ᠳ᠋ᠦ᠍ ᠦᠨᠡᠬᠡᠷ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠤᠴᠢᠷ ᠢ᠋ ᠪᠠᠭᠰᠢ ᠰᠠᠢᠲᠤᠷ ᠰᠢᠢᠳᠪᠦᠷᠢᠯᠡᠭᠰᠡᠨ ᠦᠭᠡᠢ ᠡᠴᠡ ᠭᠡᠷ ᠦ᠋ᠨ ᠠᠬᠠᠮᠠᠳ ᠮᠠᠰᠢ ᠠᠭᠤᠷᠯᠠᠪᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠢᠨᠠᠭᠯᠠᠬᠤ ᠨᠢ ᠦᠨᠡᠬᠡᠷ ᠵᠠᠷᠢᠮ ᠳ᠋ᠠᠭᠠᠨ ᠲᠡᠰᠪᠦᠷᠢᠯᠡᠬᠦᠶ᠎ᠡ ᠪᠡᠷᠬᠡ ᠠᠭᠤᠷᠯᠠᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠦᠨᠡᠬᠡᠷ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠂ ᠬᠡᠨ ᠨᠠᠮ᠎ᠠ ᠶ᠋ᠢ ᠠᠪᠤᠷᠠᠵᠤ ᠳᠡᠢᠯᠬᠦ ᠪᠣᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠪᠢ ᠠᠭᠤᠷᠯᠠᠬᠤ ᠦᠭᠡᠢ ᠂ ᠭᠡᠪᠡᠴᠦ ᠮᠢᠨᠦ ᠠᠭᠤᠷᠯᠠᠬᠤ ᠶ᠋ᠢ ᠨᠥᠯᠥᠭᠡᠯᠡᠬᠦ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠵᠠᠷᠢᠮ ᠵᠢᠷᠤᠭ ᠢ᠋ ᠦᠵᠡᠭᠡᠳ ᠮᠥᠨ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠵᠢᠭᠠᠬᠠᠨ ᠴᠤ᠌ ᠬᠠᠷᠢᠭᠤᠴᠠᠯᠭ᠎ᠠ ᠦᠭᠡᠢ ᠂ ᠪᠢ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠮᠢᠨᠦ ᠡᠵᠢ ᠲᠡᠢ ᠵᠡᠭᠡᠯᠢ ᠲᠣᠭᠣᠷᠢᠭᠠᠳ ᠵᠥᠪᠬᠡᠨ ᠯᠡ ᠠᠭᠤᠷ ᠲᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠲᠡᠷᠡ ᠬᠣᠶᠠᠷ ᠢ᠋ ᠦᠵᠡᠭᠡᠳ ᠪᠢ ᠶᠡᠬᠡ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠬᠡᠦᠬᠡᠳ ᠢ᠋ ᠬᠠᠷᠠᠭᠠᠯᠵᠠᠬᠤ ᠳ᠋ᠤ᠌ ᠦᠨᠡᠬᠡᠷ ᠠᠮᠠᠷᠬᠠᠨ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠂ ᠣᠳᠣ ᠶ᠋ᠢᠨ ᠪᠢ ᠪᠣᠯ ᠳᠠᠷᠤᠢ ᠠᠭᠤᠷᠯᠠᠭᠰᠠᠨ ᠪᠢᠴᠢᠬᠠᠨ ᠰᠢᠪᠠᠭᠤ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠡᠨᠡ ᠰᠢᠩᠭᠡᠭᠡᠯᠲᠡ ᠶ᠋ᠢ ᠦᠵᠡᠭᠡᠳ ᠲᠣᠩ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠨᠢ ᠵᠢᠭᠠᠬᠠᠨ ᠴᠤ᠌ ᠬᠡᠪ ᠴᠢᠨᠠᠷ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ; ᠳᠠᠩᠴᠤ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠭᠠᠯᠵᠠᠭᠤᠷᠠᠭᠰᠠᠨ ᠮᠡᠲᠦ ᠪᠠᠷᠢᠭᠠᠳ ᠪᠢ ᠳᠠᠰᠬᠠᠯᠵᠢᠭᠤᠯᠤᠭᠴᠢ ᠳ᠋ᠤ᠌ ᠳᠠᠩᠴᠤ ᠪᠢᠳᠠᠭᠤ ᠰᠠᠨᠠᠭᠳᠠᠵᠤ ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠠᠯᠠᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠯᠪᠠᠨ ᠲᠤᠰᠢᠶᠠᠯᠲᠠᠨ ᠵᠢᠭᠠᠬᠠᠨ ᠴᠤ᠌ ᠠᠵᠢᠯ ᠬᠢᠬᠦ ᠦᠭᠡᠢ ᠳᠡᠩᠳᠡᠭᠦᠦ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠮᠠᠰᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠂ ᠡᠨᠡ ᠪᠦᠷ ᠶᠠᠮᠠᠷ ᠰᠡᠳᠬᠢᠯ ᠦ᠋ᠨ ᠣᠪᠣᠷ ᠲᠠᠢ ᠪᠣᠢ ᠨᠡᠭᠡᠷᠡᠨ ᠭᠤᠷᠪᠠᠨ ᠲᠠᠯ᠎ᠠ ᠠ᠋ᠴᠠ ᠦᠵᠡᠪᠡᠯ ᠪᠤᠷᠤᠭᠤ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠷᠡ ᠲᠤᠢᠯ ᠤ᠋ᠨ ᠬᠢᠯᠢᠩᠯᠡᠵᠦ ᠨᠢᠳᠦ ᠨᠢ ᠪᠦᠯᠲᠡᠢᠭᠰᠡᠨ ᠶᠦ᠍ᠮ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠶᠠᠫᠣᠨ ᠤ᠋ ᠵᠠᠰᠠᠭ ᠤ᠋ᠨ ᠭᠠᠵᠠᠷ ᠨᠢ ᠭᠠᠯᠵᠠᠭᠤ ᠡᠪᠡᠳᠴᠢᠨ ᠲᠡᠢᠶᠦ᠍ᠮ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠭᠦᠨ ᠦ᠌ ᠡᠳᠦᠷ ᠰᠥᠨᠢ ᠶ᠋ᠢᠨ ᠳᠣᠲᠣᠷ᠎ᠠ ᠳᠠᠷᠤᠭᠳᠠᠭᠰᠠᠨ ᠬᠢᠯᠢᠩ ᠨᠢ ᠭᠠᠯᠲᠤ ᠠᠭᠤᠯᠠ ᠰᠢᠭ᠋ ᠳᠦᠷᠡᠯᠵᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠭᠦᠨ ᠦ᠌ ᠴᠢᠷᠠᠢ ᠭᠡᠨᠡᠳᠲᠡ ᠶᠡᠬᠡ ᠪᠡᠷ ᠬᠤᠪᠢᠷᠠᠵᠤ ᠴᠢᠷᠠᠢ ᠳᠦᠭᠦᠷᠡᠩ ᠪᠣᠯᠵᠠᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠶᠠᠭᠤᠨ ᠳ᠋ᠤ᠌ ᠤᠯᠤᠰ ᠤ᠋ᠨ ᠠᠵᠤ ᠠᠬᠤᠢᠯᠠᠯ ᠤ᠋ᠨ ᠬᠢᠵᠦ ᠳᠡᠢᠯᠬᠦ ᠤᠴᠢᠷ ᠢ᠋ ᠬᠤᠪᠢ ᠶ᠋ᠢᠨ ᠠᠵᠤ ᠠᠬᠤᠢᠯᠠᠯ ᠳ᠋ᠤ᠌ ᠪᠣᠯ ᠪᠣᠯᠬᠤ ᠦᠭᠡᠢ ᠪᠣᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠨᠠᠳᠠ ᠶ᠋ᠢ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠵᠤ ᠠᠯᠠᠯ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠵᠦᠴᠦᠭᠡ ᠨᠠᠢᠷᠠᠭᠤᠯᠬᠤ ᠨᠢ ᠳᠠᠩᠴᠢ ᠶᠣᠰᠣ ᠦᠭᠡᠢ ᠠᠭᠠᠰᠢᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠭᠦᠨ ᠦ᠌ ᠠᠭᠤᠷᠯᠠᠭᠰᠠᠨ ᠬᠠᠴᠢᠨ ᠴᠢᠷᠠᠢ ᠨᠢ ᠳᠣᠣᠷ᠎ᠠ ᠪᠠᠨ ᠳᠡᠯᠪᠡᠷᠡᠬᠦ ᠰᠢᠭ ᠪᠣᠯᠪᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠥᠮᠦᠨ ᠲᠡᠢ ᠮᠥᠷᠭᠥᠭᠰᠡᠨ ᠴᠦ᠍ ᠪᠤᠷᠤᠭᠤ ᠬᠦᠯᠢᠶᠡᠬᠦ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠡᠲᠦᠷᠬᠡᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠮᠢᠨᠦ ᠬᠤᠪᠢ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠮᠠᠲ᠋ᠧᠷᠢᠶᠠᠯ ᠢ᠋ ᠬᠤᠳᠠᠯᠳᠠᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠡᠲᠦᠷᠬᠡᠢ ᠠᠭᠤᠷᠯᠠᠬᠤ ᠨᠢ ᠲᠤᠢᠯ ᠳ᠋ᠤ᠌ ᠪᠠᠨ ᠬᠦᠷᠲᠡᠯ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠷᠡ ᠭᠡᠨᠡᠳᠲᠡ ᠭᠠᠯᠲᠤ ᠠᠭᠤᠯᠠ ᠳᠡᠯᠪᠡᠷᠡᠭᠰᠡᠨ ᠰᠢᠭ ᠲᠣᠭᠰᠢᠨ ᠠᠭᠤᠷ ᠬᠦᠷᠴᠦ ᠢᠷᠡᠪᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠮᠪᠠᠨ ᠨᠣᠶᠠᠨ ᠭᠠᠯ ᠲᠠᠯᠪᠢᠵᠤ ᠪᠣᠯᠬᠤ ᠠ᠋ᠴᠠ ᠪᠢᠰᠢ ᠠᠷᠠᠳ ᠢᠷᠭᠡᠳ ᠳ᠋ᠧᠩ ᠠᠰᠠᠭᠠᠵᠤ ᠪᠣᠯᠬᠤ ᠦᠭᠡᠢ ᠭᠡᠳᠡᠭ ᠴᠢᠨᠢ ᠶᠣᠰᠣᠲᠠᠢ ᠯᠠ ᠵᠦᠢ ᠦᠭᠡᠢ ᠬᠡᠷᠡᠭ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠴᠢ ᠶ᠋ᠢ ᠦᠰ ᠢ᠋ᠶ᠋ᠡᠷ ᠬᠠᠷᠢᠭᠤᠯᠬᠤ ᠨᠢ ᠦᠨᠡᠬᠡᠷ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠴᠢᠨᠠᠷ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠢᠷᠡᠪᠡᠯ ᠢᠷᠡᠯ᠎ᠡ ᠰᠢᠲᠠ ᠴᠢ ᠶᠠᠭᠤᠨ ᠳ᠋ᠤ᠌ ᠪᠠᠰᠠ ᠠᠯᠠᠵᠤ ᠳᠡᠭᠡᠷᠡᠮᠳᠡᠨ᠎ᠡ ᠪᠣᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠯᠠᠵᠤ ᠬᠢᠳᠤᠵᠤ ᠪᠤᠯᠢᠶᠠᠨ ᠳᠡᠭᠡᠷᠡᠮᠳᠡᠬᠦ ᠶ᠋ᠢ ᠯᠡ ᠪᠣᠳᠣᠨ᠎ᠠ ᠴᠢ ᠶᠠᠭᠤᠨ ᠳ᠋ᠤ᠌ ᠮᠠᠭᠤ ᠬᠡᠷᠡᠭ ᠬᠢᠭᠰᠡᠨ ᠢ᠋ ᠮᠡᠳᠡᠷᠡᠬᠦ ᠦᠭᠡᠢ ᠶᠦ᠍ᠮ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠷᠡ ᠦᠨᠡᠬᠡᠷ ᠨᠠᠮ᠎ᠠ ᠶ᠋ᠢ ᠠᠭᠤᠷᠯᠠᠭᠤᠯᠵᠤ ᠠᠯᠠᠯ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠭᠤᠷᠯᠠᠭᠠᠳ ᠡᠢᠮᠦ ᠬᠥᠮᠦᠨ ᠢ᠋ ᠵᠠᠭᠤ ᠤᠳᠠᠭ᠎ᠠ ᠠᠯᠠᠭᠰᠠᠨ ᠴᠤ᠌ ᠬᠡᠲᠦᠷᠡᠬᠦ ᠦᠭᠡᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠥᠮᠦᠨ ᠫᠠᠨᠽᠠᠯᠠᠭᠴᠢ ᠶ᠋ᠢ ᠡᠷᠬᠡᠪᠰᠢ ᠫᠤᠤᠳᠠᠵᠤ ᠠᠯᠠᠬᠤ ᠬᠡᠷᠡᠭᠲᠡᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠦᠨᠡᠬᠡᠷ ᠬᠡᠲᠦᠷᠡᠬᠦ ᠳ᠋ᠡᠭᠡᠨ ᠬᠠᠤᠯᠢ ᠴᠠᠭᠠᠵᠠ ᠦᠭᠡᠢ ᠪᠣᠯᠵᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠡᠢᠮᠦ ᠬᠥᠮᠦᠨ ᠢ᠋ ᠬᠠᠤᠯᠢ ᠪᠠᠷ ᠰᠢᠳᠬᠡᠬᠦ ᠬᠡᠷᠡᠭᠲᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠺᠠᠷᠲ ᠤ᠋ᠨ ᠮᠠᠰᠢᠨ ᠡᠪᠳᠡᠷᠡᠵᠡᠢ ᠡᠨᠡ ᠪᠣᠯ ᠨᠠᠮ᠎ᠠ ᠶ᠋ᠢ ᠠᠯᠪᠠᠲᠠᠨ ᠰᠣᠯᠢᠶᠠᠷᠠᠭᠤᠯᠬᠤ ᠭᠡᠰᠡᠨ ᠶᠦ᠍ᠮ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠷᠡ ᠮᠠᠰᠢ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠬᠥᠮᠥᠰᠭᠡ ᠲᠡᠢ ᠪᠠᠢᠵᠤ ᠰᠦᠷᠡᠬᠡᠢ ᠴᠡᠴᠡᠷᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠷᠡ ᠠᠭᠤᠷᠯᠠᠭᠠᠳ ᠪᠦᠬᠦ ᠪᠡᠶ᠎ᠡ ᠨᠢ ᠴᠡᠴᠡᠷᠬᠢᠯᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠢᠳᠡᠭᠡᠨ ᠦ᠌ ᠠᠰᠠᠭᠤᠳᠠᠯ ᠳᠡᠭᠡᠷ᠎ᠡ ᠵᠠᠷᠢᠮ ᠬᠥᠮᠦᠨ ᠪᠠᠰᠠ ᠵᠣᠬᠢᠰ ᠦᠭᠡᠢ ᠦᠢᠯᠡ ᠶ᠋ᠢᠨ ᠦᠷ᠎ᠡ ᠪᠡᠨ ᠠᠮᠰᠠᠵᠤ ᠪᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠥᠮᠦᠨ ᠦ᠌ ᠶᠠᠭᠤᠮ᠎ᠠ ᠪᠠᠷ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠬᠢ ᠪᠣᠯᠤᠨ᠎ᠠ ᠶᠠᠮᠠᠷ ᠴᠤ᠌ ᠪᠣᠯᠪᠠᠰᠤᠷᠠᠯ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠢᠮᠦ ᠠᠷᠪᠢᠨ ᠮᠠᠭᠤ ᠬᠡᠷᠡᠭ ᠬᠢᠪᠡᠯ ᠰᠢᠢᠳᠬᠡᠯ ᠣᠯᠬᠤ ᠶᠣᠰᠣᠲᠠᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠡᠦᠬᠡᠳ ᠲᠦ᠍ ᠪᠠᠭ᠎ᠠ ᠴᠤ᠌ ᠭᠡᠰᠡᠨ ᠠᠪᠤ ᠡᠵᠢ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠪᠢᠲᠡᠭᠡᠢ ᠠᠰᠢᠭ ᠤ᠋ᠨ ᠲᠥᠯᠥᠭᠡ ᠰᠢᠨᠤᠵᠤ ᠥᠪᠡᠷ ᠦ᠋ᠨ ᠢᠷᠡᠭᠡᠳᠦᠢ ᠪᠡᠨ ᠥᠭᠡᠢᠬᠢᠭᠡᠷᠡᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠪᠠᠭ᠎ᠠ ᠰᠠᠭ᠎ᠠ ᠠᠵᠢᠯ ᠬᠢᠬᠦ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠪᠤ ᠨᠢ ᠶᠡᠬᠡᠳᠡ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠲᠡᠭᠦᠨ ᠢ᠋ ᠴᠣᠬᠢᠪᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠴᠢ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠦᠭᠡ ᠬᠡᠯᠡᠵᠦ ᠴᠢᠳᠠᠬᠤ ᠦᠭᠡᠢ ᠂ ᠶᠡᠷᠦ ᠶ᠋ᠢᠨ ᠪᠠᠢᠳᠠᠯ ᠲᠠᠢ ᠪᠣᠯ ᠪᠣᠯᠬᠤ ᠦᠭᠡᠢ ᠦᠦ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠰᠢᠭᠠᠷᠤ ᠶ᠋ᠢᠨ ᠡᠷᠡᠭᠲᠡᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠳᠡᠩᠳᠡᠭᠦᠦ ᠠᠭᠤᠷᠯᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠂ ᠮᠢᠨᠦ ᠬᠢᠷᠢ ᠪᠦᠲᠦᠮᠵᠢ ᠬᠠᠷᠢᠨ ᠬᠦᠴᠦᠨ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠪᠢ ᠭᠡᠷ ᠲᠡᠭᠡᠨ ᠬᠠᠷᠢᠨ᠎ᠠ ᠬᠠᠭᠠᠰ ᠡᠳᠦᠷ ᠦ᠋ᠨ ᠵᠠᠮ ᠲᠦᠭᠵᠢᠷᠡᠨ᠎ᠡ ᠬᠡᠵᠢᠶ᠎ᠡ ᠳᠠᠭᠤᠰᠬᠤ ᠪᠢᠯᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠣᠷᠬᠢᠷᠠᠨ ᠠᠷᠬᠢᠷᠠᠬᠤ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠡᠨ ᠲᠠᠨᠤᠰ ᠲᠤ᠌ ᠳᠤᠷ᠎ᠠ ᠪᠠᠷ ᠭᠤᠢᠷᠠᠨᠴᠢ ᠶ᠋ᠢᠨ ᠰᠡᠭᠦᠳᠡᠷ ᠢ᠋ ᠰᠡᠭᠦᠳᠡᠷᠯᠡᠵᠦ ᠥᠭᠭᠦᠭᠡᠳ ᠳᠠᠷᠠᠭ᠎ᠠ ᠨᠢ ᠰᠦᠯᠵᠢᠶᠡᠨ ᠳᠡᠭᠡᠷ᠎ᠡ ᠨᠡᠢᠲᠡᠯᠡᠨ᠎ᠡ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠭᠤᠶᠤᠬᠤ ᠨᠢ ᠨᠡᠷ᠎ᠡ ᠬᠦᠨᠳᠦ ᠦᠭᠡᠢ ᠴᠢᠮ᠎ᠠ ᠶ᠋ᠢ ᠳᠤᠷ᠎ᠠ ᠲᠠᠪᠠ ᠪᠠᠷ ᠢ᠋ᠶ᠋ᠠᠨ ᠪᠣᠯᠭᠠᠨ᠎ᠠ ᠤᠤ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠲᠡᠷᠡ ᠠᠭᠤᠷᠯᠠᠭᠠᠳ ᠪᠦᠬᠦ ᠪᠡᠶ᠎ᠡ ᠨᠢ ᠴᠡᠴᠡᠷᠬᠢᠯᠡᠨ᠎ᠡ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠡᠳᠦ ᠬᠡᠲᠦᠷᠡᠪᠡ ᠂ ᠡᠨᠡ ᠨᠢ ᠶᠠᠮᠠᠷ ᠱᠠᠯ ᠳᠡᠮᠡᠢ ᠯᠣᠭᠢᠭ ᠪᠣᠯᠬᠤ ᠪᠣᠢ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠭᠤᠯᠠᠨ ᠵᠠᠮ ᠢ᠋ᠶ᠋ᠠᠷ ᠠᠷᠠᠳ ᠣᠯᠠᠨ ᠤ᠋ ᠲᠡᠷᠭᠡ ᠶᠠᠪᠤᠬᠤ ᠳ᠋ᠤ᠌ ᠠᠮᠤᠷ ᠲᠦᠪᠰᠢᠨ ᠦ᠌ ᠠᠰᠠᠭᠤᠳᠠᠯ ᠪᠠᠢᠬᠤ ᠦᠭᠡᠢ ᠤᠤ ︖
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠷᠠᠳ ᠲᠦᠮᠡᠨ ᠦ᠌ ᠦᠬᠦᠵᠦ ᠰᠡᠬᠡᠬᠦ ᠪᠡᠨ ᠬᠠᠢᠬᠤᠷᠬᠤ ᠦᠭᠡᠢ ᠨᠣᠶᠠᠨ ᠲᠠᠢᠰᠠᠨ ᠠ᠋ᠴᠠ ᠪᠠᠭᠤᠪᠠᠯ ᠲᠠᠭᠠᠷᠠᠨ᠎ᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠬᠡᠨ ᠶᠣᠰᠣ ᠪᠤᠰᠤ ᠪᠠᠷ ᠠᠭᠠᠰᠢᠯᠠᠪᠠᠯ ᠪᠢ ᠬᠡᠨ ᠢ᠋ ᠴᠣᠬᠢᠨ᠎ᠠ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠵᠢᠯ ᠠ᠋ᠴᠠ ᠪᠠᠨ ᠠᠮᠠᠷᠠᠭᠰᠠᠨ ᠠᠬᠠᠮᠠᠳ ᠰᠢᠭ᠋ ᠰᠠᠨᠠᠭᠳᠠᠪᠠᠯ ᠬᠥᠮᠦᠨ ᠢ᠋ ᠠᠮᠢ ᠪᠠᠨ ᠠᠪᠬᠤ ᠦᠭᠡᠢ ᠪᠣᠯᠭᠠᠨ᠎ᠠ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠠᠮᠤ ᠪᠤᠳᠠᠭᠠᠨ ᠤ᠋ ᠦᠨ᠎ᠡ ᠲᠦᠷᠭᠡᠨ ᠥᠰᠬᠦ ᠶ᠋ᠢ ᠬᠠᠮᠢᠶᠠᠷᠬᠤ ᠬᠥᠮᠦᠨ ᠦᠭᠡᠢ ᠤᠤ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠤᠳᠤᠷᠢᠳᠬᠤ ᠬᠥᠮᠦᠰ ᠡᠮᠦᠨᠡᠲᠦ ᠳᠠᠯᠠᠢ ᠶ᠋ᠢᠨ ᠠᠰᠠᠭᠤᠳᠠᠯ ᠳ᠋ᠤ᠌ ᠠᠷᠭ᠎ᠠ ᠬᠡᠮᠵᠢᠶ᠎ᠡ ᠠᠪᠬᠤ ᠦᠭᠡᠢ ᠭᠡᠳᠡᠭ ᠨᠢ ᠶᠣᠰᠣᠲᠠᠢ ᠡᠷᠬᠡ ᠪᠡᠨ ᠠᠯᠳᠠᠵᠤ ᠤᠯᠤᠰ ᠢ᠋ᠶ᠋ᠠᠨ ᠭᠤᠲᠤᠭᠠᠭᠰᠠᠨ ᠶᠠᠪᠤᠳᠠᠯ ᠮᠥᠨ
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠵᠠᠷᠢᠮ ᠵᠠᠰᠠᠭ ᠤ᠋ᠨ ᠣᠷᠳᠣᠨ ᠤ᠋ ᠠᠯᠪᠠᠨ ᠲᠤᠰᠢᠶᠠᠯᠲᠠᠨ ᠠᠷᠠᠳ ᠣᠯᠠᠨ ᠢ᠋ ᠦᠵᠡᠬᠦ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠪᠦᠭᠦᠳᠡᠭᠡᠷ ᠲᠣᠨᠢᠯ ᠳᠠᠬᠢᠵᠤ ᠪᠤᠴᠠᠵᠤ ᠢᠷᠡᠬᠦ ᠬᠡᠷᠡᠭ ᠦᠭᠡᠢ 
ᠠᠭᠤᠷᠯᠠᠬᠤ ;ᠡᠨᠡ ᠴᠢᠨᠢ ᠬᠥᠮᠦᠨ ᠦ᠌ ᠬᠢᠳᠡᠭ ᠠᠵᠢᠯ ᠤᠤ ︖ ᠶᠣᠰᠣᠲᠠᠢ ᠲᠤᠢᠯ ᠳ᠋ᠤ᠌ ᠪᠠᠨ ᠬᠦᠷᠲᠡᠯ᠎ᠡ ᠬᠡᠲᠦᠷᠡᠭᠦᠯᠵᠦ ᠪᠠᠢᠨ᠎ᠠ 
